year,title,directors_0,rating,genres_0,genres_1,rank,running_time_secs,actors_0,actors_1,actors_2,directors_1,directors_2
2013,The Hobbit: The Desolation of Smaug,Peter Jackson,,Adventure,Drama,74,,Martin Freeman,Ian McKellen,Richard Armitage,,
2013,Frozen,Chris Buck,,Animation,Action,75,,Kristen Bell,Josh Gad,Idina Menzel,Jennifer Lee,
2012,Spring Breakers,Harmony Korine,5.5,Crime,Drama,76,5640,Vanessa Hudgens,Selena Gomez,Ashley Benson,,
2014,Fifty Shades of Grey,Sam Taylor-Johnson,,Drama,Romance,77,,Charlie Hunnam,Dakota Johnson,,,
2012,Silver Linings Playbook,David O. Russell,7.9,Comedy,Drama,78,7320,Bradley Cooper,Jennifer Lawrence,Robert De Niro,,
2013,R.I.P.D.,Robert Schwentke,5.4,Action,Comedy,79,5760,Ryan Reynolds,Jeff Bridges,Mary-Louise Parker,,
1994,The Shawshank Redemption,Frank Darabont,9.3,Crime,Drama,80,8520,Tim Robbins,Morgan Freeman,Bob Gunton,,
2013,Pacific Rim,Guillermo del Toro,7.5,Action,Adventure,81,7860,Idris Elba,Charlie Hunnam,Rinko Kikuchi,,
2012,The Hunger Games,Gary Ross,7.2,Adventure,Sci-Fi,82,8520,Jennifer Lawrence,Josh Hutcherson,Liam Hemsworth,,
2013,The Last Days on Mars,Ruairi Robinson,7.4,Sci-Fi,Thriller,83,5880,Liev Schreiber,Romola Garai,Elias Koteas,,
2013,Baggage Claim,David E. Talbert,4.1,Comedy,,84,5760,Paula Patton,Taye Diggs,Jill Scott,,
2013,Percy Jackson: Sea of Monsters,Thor Freudenthal,6.5,Adventure,Family,85,6360,Logan Lerman,Alexandra Daddario,Brandon T. Jackson,,
2012,Byzantium,Neil Jordan,6.5,Drama,Fantasy,86,7080,Saoirse Ronan,Gemma Arterton,Sam Riley,,
2011,X-Men: First Class,Matthew Vaughn,7.8,Action,Adventure,87,7920,James McAvoy,Michael Fassbender,Jennifer Lawrence,,
1993,Hocus Pocus,Kenny Ortega,6.2,Comedy,Family,88,5760,Bette Midler,Sarah Jessica Parker,Kathy Najimy,,
2013,The East,Zal Batmanglij,6.9,Crime,Drama,89,6960,Brit Marling,Alexander Skarsgard,Ellen Page,,
2013,V/H/S/2,Simon Barrett,6.2,Horror,Thriller,90,5760,Lawrence Michael Levine,Kelsy Abbott,Adam Wingard,Jason Eisener,Gareth Evans
2013,The Croods,Kirk De Micco,7.3,Animation,Adventure,91,5880,Nicolas Cage,Ryan Reynolds,Emma Stone,Chris Sanders,
2013,Olympus Has Fallen,Antoine Fuqua,6.4,Action,Thriller,92,7200,Gerard Butler,Aaron Eckhart,Morgan Freeman,,
2013,Hummingbird,Steven Knight,6.2,Action,Crime,93,6000,Jason Statham,Agata Buzek,Vicky McClure,,
2013,About Time,Richard Curtis,7.6,Comedy,Drama,94,7380,Domhnall Gleeson,Rachel McAdams,Bill Nighy,,
2012,Mud,Jeff Nichols,7.5,Drama,,95,7800,Matthew McConaughey,Tye Sheridan,Jacob Lofland,,
2012,Argo,Ben Affleck,7.9,Biography,Drama,96,7200,Ben Affleck,Bryan Cranston,John Goodman,,
2012,Django Unchained,Quentin Tarantino,8.5,Adventure,Drama,97,9900,Jamie Foxx,Christoph Waltz,Leonardo DiCaprio,,
2013,Grown Ups 2,Dennis Dugan,5.2,Comedy,,98,6060,Adam Sandler,Kevin James,Chris Rock,,
2008,The Dark Knight,Christopher Nolan,9,Action,Crime,99,9120,Christian Bale,Heath Ledger,Aaron Eckhart,,
2013,Planes,Klay Hall,5.2,Animation,Adventure,100,5460,Carlos Alazraqui,Dane Cook,Stacy Keach,,
2013,Captain Phillips,Paul Greengrass,6.7,Action,Biography,101,8040,Tom Hanks,Barkhad Abdi,Barkhad Abdirahman,,
2012,The Hobbit: An Unexpected Journey,Peter Jackson,8.1,Adventure,Fantasy,103,10140,Martin Freeman,Ian McKellen,Richard Armitage,,
2014,Guardians of the Galaxy,James Gunn,,Action,Adventure,104,,Vin Diesel,Zoe Saldana,Bradley Cooper,,
2012,Les Miserables,Tom Hooper,7.6,Drama,Musical,106,9480,Hugh Jackman,Russell Crowe,Anne Hathaway,,
